News_Title,News_Description,Date,Category
 Ex-girlfriend testifies Sean 'Diddy' Combs forced her into drug-fuelled sex parties ,"
                        
                        
                        Combs� ex testifies he forced her into drug-fuelled sex partiesSean ""Diddy"" Combs former girlfriend Casandra Ventura, the star prosecution witness at his sex trafficking trial, testified on Tuesday that the rapper and hip-hop mogul forced her into repeated drug-fuelled sex parties he organised.Ventura, a rhythm and blues singer known as Cassie, said she took part in Combs’ parties, known as ""Freak Offs"", for about a decade -- at first to please him and later because he blackmailed her with videos of the encounters.“The 'Freak Offs' became a job where there was no space to do anything else but to recover and just try to feel normal again,"" Ventura, 38, told jurors in Manhattan federal court.She said performances could last one and a half to four days, with Combs giving her drugs to keep her awake and micromanaging her appearance.“If I wasn't doing my nails, I was getting a tan,” Ventura said. “After a while that wears down on you, on your confidence and self-worth.”One casualty was her music career, with a 10-album contract signed in 2006 with Combs’ Bad Boy Records label yielding only one album, Ventura testified.Jurors were also shown a widely circulated 2016 surveillance video from the hallway of a Los Angeles hotel, where Combs, wearing only a towel, threw Ventura to the ground, kicked her, and dragged her away.Ventura said the incident occurred after Combs had given her a black eye during a ""Freak Off"".“All I could think about was getting out of there safely,” Ventura said.Combs, 55, has pleaded not guilty to five felony counts of racketeering conspiracy, sex trafficking, and transportation to engage in prostitution.If convicted on all counts, he faces a minimum 15 years in prison and could face life behind bars.Combs’ lawyers have said prosecutors are attempting to improperly criminalise his ""swingers"" lifestyle, where he and his girlfriends invited men to join them for sex.“This case is about voluntary choices made by capable adults in consensual relationships,” defence lawyer Teny Geragos told jurors on Monday.The trial began on Monday and could last two months. Combs is being housed in a Brooklyn jail when not in court.‘CONTROL WAS EVERYTHING’Wearing a brown dress and later adding a camel-coloured coat, Ventura said she began dating Combs in her early 20s, in what she thought was her “first real adult relationship”.Ventura said she loved Combs at the time and wanted to make him happy.But she said Combs changed over time, frequently beating her and leaving her with black eyes and bruises all over her body.“He would bash my head, knock me over, drag me, kick me, stomp me in the head if I was down,” Ventura said.The grey-haired Combs, clad in a grey sweater, often crossed his arms as Ventura testified.Ventura fought back tears as she described ""Freak Offs"" in graphic detail.She said she was 22 during her first ""Freak Off"", and the only parts she enjoyed were when she and Combs were alone.But they often weren’t, Ventura testified, with Combs paying male escorts, including one nicknamed ""The Punisher"", $1,500 to $6,000 to take part.Ventura said she didn’t want to participate when others were involved but was afraid of making Combs angry.“His eyes were black,” she said. “The version that I fell in love with was no longer there.”Ventura also said Combs controlled much of her life and career.“Control was everything, from the way that I looked to what I was working on that day, who I was speaking to,” she said.Ventura will resume testifying on Wednesday.Combs has apologised for his conduct in the video.His lead lawyer, Marc Agnifilo, has said the video depicted the aftermath of a dispute over infidelity.Agnifilo said at a hearing last Friday that Ventura had a history of domestic violence, signalling he may use it during cross-examination to undermine her credibility.Ventura filed a civil lawsuit in November 2023 accusing Combs of rape and serial sexual abuse. They settled after one day.Jurors may hear testimony from two or three of Combs’ other female accusers, and former employees whom prosecutors say helped arrange and cover up Combs’ criminal conduct.Ventura married personal trainer Alex Fine in September 2019. They have two daughters, and Ventura is pregnant.
                    ","14 May 2025, 10:04 AM",entertainment
" Critical Mahmood, EU collaborate for greener, sustainable future in Bangladesh ","
                        
                        
                        The European Union (EU) and Bangladeshi artist Critical Mahmood have launched the i've Got the Power campaign to celebrate a partnership between Bangladesh and the EU for a greener, sustainable future for all.The campaign focuses on the transformative impact of EU-supported initiatives in Bangladesh that provide renewable solutions for individuals and local communities, a media statement said on Friday.Mahmoods track, I've Got the Power, is the inspirational anthem of the campaign, highlighting the potential of clean energy to improve lives and encouraging them to adapt, it said. As an artist, it is my passion to support positive change with an impact on real people. Renewable energy is crucial for the future prosperity of Bangladesh and I'm proud to lend my voice to inspire change and contribute to a larger mission in collaboration with the European Union,” Mahmood was quoted as saying in the statement.The EU’s Global Gateway initiative underpins the campaign, and is exemplified by projects like the Bangladesh Renewable Energy Facility, which aims to install approximately 750MW of renewable energy capacity, primarily through utility-scale solar photovoltaic and onshore wind projects, alongside battery storage systems, it added.Michael Miller, EU ambassador to Bangladesh, said: “The clean energy transition is about people: their access to reliable power, their access to economic opportunities. This campaign should make us think about how we can all work to build a sustainable future for individuals and communities in Bangladesh.”Global Gateway is the EU's offer to boost smart, clean, open and secure connections in digital, energy, water and transport, and to strengthen health, education and research systems.The initiative’s strategy embodies a team-Europe approach that brings together the European Union, EU member states and European development finance institutions. Together, they aim to mobilise up to €300 billion globally in public and private investments by 2027, creating essential links and closing the global investment gap. 
                    ","09 May 2025, 09:03 PM",entertainment
" Swiss Eurovision stirs familiar controversy over Israeli entry, LGBTQ+ flags ","
                        
                        
                        Switzerland will host the Eurovision Song Contest for the first time since 1989 next week, amid familiar political criticism over LGBTQ+ rights and the participation of Israel.

The European Broadcasting Union (EBU) hopes its theme of ""United by Music"" will help keep the focus in Basel on the performers and their songs at the world's biggest entertainment show by viewership.

But controversy is again swirling around what critics see as the contest's growing politicisation and ideological agenda.

One row is over the inclusion of Israel, to be represented by Yuval Raphael, a survivor of the October 7, 2023 Hamas-led attack that killed 1,200 people.

Israel's military campaign in Gaza has since killed more than 50,000 Palestinians, according to local health officials, prompting officials in Spain, Slovenia, and Iceland to question whether Israel should be allowed to take part.

Palestinian organisations and human rights groups in Switzerland have also opposed Israel's participation, accusing the EBU of double standards.

""Russia was excluded from Eurovision after its invasion of Ukraine but Israel is still allowed despite committing genocide in Gaza,"" said Geri Mueller, president of the Association Swiss Palestine. Israel has repeatedly rejected such accusations.

The EBU said Israel was allowed to compete because the country was represented by KAN, its public services broadcaster, and not its government.

KAN did not respond to a request for comment.

Eurovision director Martin Green said the contest could promote a connection despite political turmoil and be a ""momentary space of joy and escapism.""

""My hope this year is that Eurovision does what it's done for the past 69 years, which is show that music can bring us together,"" Green told Reuters.

""I know that sounds maybe a little bit twee, but that is the purpose of the contest.""

Eurovision, previously mocked for its sometime tacky songs and outlandish performers, has enjoyed a renaissance in recent years, partly due to the strong support of gay fans.

It is the world's biggest entertainment event, attracting 170 million viewers last year, along with voters from more than 150 countries.

This year's event has also ignited debate in Switzerland, where a campaign by the conservative Federal Democratic Union (EDU) tried unsuccessfully to block public funding.

The EDU took issue with what it called the contest's promotion of a ""woke agenda,"" said Samuel Kullmann, a member of the Bern cantonal parliament.

""It has become like a freak show,"" he told Reuters, accusing Eurovision of pushing transgender and queer identity narratives at the expense of traditional values.

Nemo, a non-binary Swiss singer, won the 2024 contest with The Code, a track chronicling their journey of gender self-discovery.

Anti-Semitism was also cited by the EDU as a concern, referencing anti-Israel protests during last year's contest in Malmo, Sweden.

Security this year has been stepped up, with 1,300 police officers on duty, and specialists drafted in from the military and cyber security experts.

New flag guidelines restrict the stage and green room to one national flag, effectively banning the rainbow Pride flag for artists, although LGBTQ+ and regional flags will be permitted in public sections for performers and fans.

After reports that several ticketholders had non-binary pride flags confiscated last year, EBU director Green said the restriction was designed to create clarity and balance

""Eurovision needs no flag to demonstrate its alliance and celebration of the LGBTQ+ community,"" he said. ""You only have to see the show, see the people that are taking part, hear what they're singing about.""

Pink Cross, a Swiss gay and bisexual rights group, was nevertheless disappointed by the decision.

""Eurovision is a celebration of solidarity and tolerance and has a long history of supporting LGBTQ+ rights,"" said secretary general Roman Heggli. ""The flag ban is a slap in the face.""
                    ","09 May 2025, 01:10 AM",entertainment
 Trump's movie tariff threat alarms India's film makers ,"
                        
                        
                        India's film industry, which earns roughly 40 percent of its overseas revenue from the United States, sounded the alarm this week about higher costs after President Donald Trump threatened a tariff of 100 percent on all movies produced beyond American soil.

Film makers, producers and distributors in one of the world's largest film industries by output struggled to weigh the likely impact of such a tariff as Trump provided scant details, stirring more questions than answers.

""The real question is how the term 'foreign produced' will be defined, and until that's clear, it's hard to say anything,"" said film maker Anubhav Sinha, known for his Netflix streaming series, ""IC 814: The Kandahar Hijack"".

""It's not yet clear whether services like post-production will be affected.""

India's film industry employs 272,000 people, with overseas box office takings of about 20 billion rupees ($237 million) in fiscal 2024, or a tenth of total earnings, Deloitte and studio grouping the Motion Picture Association said in a report.

Key Hollywood films with India scenes are Oscar-winners such as the rags-to-riches tale ""Slumdog Millionaire"", and the Osama bin Laden manhunt thriller, ""Zero Dark Thirty"", along with rom-com ""Eat, Pray Love"", and Batman outing ""The Dark Knight Rises"".

In the absence of details on the planned levy, film producers worry it could double the cost of exporting their films to the United States, where people of Indian descent are estimated to number 5.2 million.

""The United States is one of the most important overseas markets for Indian cinema, largely due to the substantial diaspora,"" said producer Madhu Bhojwani, reponsible for hits such as ""Airlift"", on workers evacuated from Kuwait during the Gulf War.

""Any increase in ticket prices resulting from these tariffs would directly affect audience turnout, compounding the challenges posed by evolving consumer behaviour and broader industry headwinds.""

The cost-effective South Asian nation has also grown in stature as Hollywood's preferred hub for on-ground production and post-production services, especially in visual effects, since it offers a skilled talent pool.

""Almost 10 to 15 (foreign) movies are shot in India every year, and our movie industry will be impacted very badly,"" said film trade analyst Komal Nahta.

LIKELY HIT TO REVENUE

Prominent Indian actor and producer Prakash Raj called Trump's move ""tariff terrorism"".

If the tariff covers post-production services, the consequences will be bigger, added Bhojwani, the co-founder of Emmay Entertainment and Motion Pictures.

""We can expect a potential decline in outsourced work from US studios to Indian vendors, which could have notable implications for the Indian media services sector,"" she said.

""If revenue from the US drops, it could affect budget planning and profitability for Indian production houses,"" said Pradeep Dwivedi, chief executive of Eros International Media EROS.NS.

""Big-budget films counting on overseas revenue could be restructured or scaled back.""

The move will also hurt smaller releases in the United States.

""Even a 30 percent drop in revenue for such mid-scale movies would be a significant dent,"" said Raj Kandukuri, producer of a well-regarded film, ""Pelli Choopulu"", in India's southern language of Telugu.

""There are a sizeable number of students in the United States who watch movies, they will not spend high on ticket prices.""

The planned levy might also drive a broader shift to digital platforms.

""US distributors might be less inclined to pick up Indian titles due to the increased cost,"" Dwivedi said.

""This could result in fewer screens, smaller releases, and a shift toward digital platforms instead of theatrical. The tariff would likely accelerate a move toward direct-to-digital releases on platforms like ErosNow, Netflix, Amazon Prime, and Hulu.""

 
                    ","07 May 2025, 08:14 PM",entertainment
 Sean 'Diddy' Combs defence lawyers face uphill battle in bid to undermine accusers ,"
                        
                        
                        Sean ""Diddy"" Combs will argue at his sex trafficking trial beginning next week that women who took part in his elaborate sex parties did so willingly, but his lawyers will face an uphill battle trying to undermine the credibility of accusers who say the hip-hop mogul forced them to participate.

Combs, a onetime billionaire known for elevating hip-hop in American culture in the 1990s and early 2000s, has pleaded not guilty to five felony counts including racketeering and sex trafficking.

Prosecutors with the Manhattan US Attorney's office say that for two decades, he used his business empire to lure women into his orbit with promises of romantic relationships or financial support, and then used violence and threats to obligate them to take part in days-long, drug-fueled sexual performances known as ""Freak Offs"" with male sex workers.

""The defense has quite the uphill battle ahead,"" said Heather Cucolo, a New York Law School professor. ""There was a clear power dynamic, and that power dynamic is going to be a main focus and a main issue here.""

Lawyers for Combs, 55, have said prosecutors are improperly trying to criminalise a consensual ""swingers"" lifestyle in which he and his longtime girlfriends sometimes brought a third person into their relationships.

Jury selection for his trial got under way on Monday, with opening statements scheduled for May 12.

To persuade the jury, his lawyers will have to undermine the accounts of at least four women expected to testify that he coerced them into taking part in unwanted sex acts. Combs' lawyers have signaled they intend to argue the women had financial incentives to falsely accuse Combs of abuse.

Other high-profile criminal defendants in sex abuse trials have deployed similar strategies in a #MeToo era that has encouraged victims to come forward. Many of these defendants, such as R&B singer R Kelly and British socialite Ghislaine Maxwell, have been convicted anyway.

Combs' defence says it has evidence the accusers are not being candid. Defence lawyer Teny Geragos said at an April 14 court hearing that one accuser, referred to in court papers as Victim-4, had ""cherry-picked"" material she chose to hand over to prosecutors, leaving out important context.

At a November 22, 2024, court hearing, defense lawyer Marc Agnifilo said another woman, referred to in the indictment as Victim-1, had her lawyer ask another one of Combs' lawyers for $30 million in exchange for not publishing a memoir. When the money did not materialize, she sued Combs in November 2023 and settled the case for an undisclosed amount, Agnifilo said, without naming the accuser.

R&B vocalist Casandra Ventura, Combs' longtime former girlfriend who performs under the stage name Cassie, accused Combs of sex trafficking in a November 16, 2023, lawsuit. The case swiftly settled and terms were not disclosed. Combs denied the allegations.

""It's our defence to these charges that this was a toxic, loving, 11-year relationship,"" Agnifilo said at the hearing last November.

SURVEILLANCE VIDEO

Combs faces a major obstacle: a hotel surveillance video prosecutors want to show the jury depicting Combs kicking and dragging a woman in a hallway. Prosecutors say the woman had been trying to leave a ""Freak Off"" at a Los Angeles hotel in March 2016.

Combs' defensce could argue that the video depicted a domestic dispute unrelated to any racketeering conspiracy. Agnifilo has said the woman in the video had taken Combs' belongings and left the hotel room after discovering he had another girlfriend.

""To the extent that the government says that this is somehow evidence of sex trafficking, it's evidence of Mr Combs having more than one girlfriend and getting caught,"" Agnifilo said at a September 30, 2024, court hearing.

Neither prosecutors nor the defense have named the woman in the surveillance video. CNN last year broadcast a video that appeared to show him attacking Cassie in 2016. Combs posted an apology on social media days later.

Zachary Margulis-Ohnuma, a New York defense attorney who has tried sex crimes cases, said the indictment lacked details about other specific actions Combs had taken to compel women to take part in the ""Freak Offs.""

""The fact that he had a fight with his girlfriend seems like a thin reed to charge RICO,"" Margulis-Ohnuma said, referring to the Racketeer Influenced and Corrupt Organizations Act.

Prosecutors back up the RICO charge by alleging that employees of Combs' businesses helped him transport women to the ""Freak Offs,"" pay the sex workers and cover up the activity.

Combs' defence has asked US District Judge Arun Subramanian to let them call a forensic video expert as a witness to testify that one version of the hotel surveillance video was distorted to make Combs appear more domineering than he was.

But Combs' assertion that the woman in the video was stealing his property is a ""thin line of defense,"" said Mark Zauderer, a partner at New York law firm Dorf Nelson & Zauderer.

""Even if the alleged victim had done something wrong, it would be, in my opinion, very unlikely that a jury would find excusable the kind of violence that is shown in that video,"" Zauderer said.
                    ","06 May 2025, 09:46 PM",entertainment
 Stars shine in tailored looks at Met Ball celebration of Black style ,"
                        
                        
                        Singer Rihanna revealed her third pregnancy, Pharrell Williams sported a jacket with 15,000 pearls and musician Andre 3000 strapped a piano to his back as celebrities celebrated Black style and tailoring at the Met Gala fundraiser on Monday.

Mostly black-and-white looks populated the daffodil-accented deep-blue carpet covering the steps to the Metropolitan Museum of Art. Guests arrived as assistants sheltered them under umbrellas in the heavy rain.

Formula 1 driver Lewis Hamilton and actor Colman Domingo, co-chairs of the gala, were among the first of the stars of sports, music, film and television to appear.

Domingo wore a full-length royal blue pleated cloak falling from a gold-and-white casing around his shoulders. He removed the cloak to reveal a bejeweled, checkered black-and-white jacket and grey trousers. Hamilton chose an ivory suit with a beret.

The last to arrive was Rihanna, who sported a wide-brimmed black hat and a striped, corseted bodice that hugged her stomach. Her partner, musician A$AP Rocky, had arrived earlier and confirmed that Rihanna was pregnant with the couple's third child.

In between, former Democratic presidential candidate Kamala Harris had made her way into the event. She was not spotted on the carpet, but the Democratic Party posted a photo of her on social media in a long black-and-white gown.

Andre 3000 turned heads with one of the most over-the-top looks - a replica of a piano that he hauled on his back like a backpack.

Williams, the musician and creative director of Louis Vuitton menswear, wore black tuxedo pants paired with an ivory jacket adorned with 15,000 pearls.

The Met Gala, a fundraiser for the art museum's Costume Institute, has become known for its roster of A-list celebrities in extravagant outfits. This year's guests were told to dress according to the theme ""Tailored for You,"" a nod to the exhibit called ""Superfine: Tailoring Black Style"" at the museum's Costume Institute. The exhibit focuses on an elegant Black dandy aesthetic.



The theme was chosen before the election of U.S. President Donald Trump, who launched an assault on diversity and inclusion efforts during the first weeks of his second term.

Andrew Bolton, head curator of the Costume Institute, said that even though work began on the exhibit in 2022, ""in this current political climate, it resonates very differently. Timing is everything.""

Also on the carpet, legendary Indian actor Shah Rukh Khan wore a silk black sherwani-style jacket over black trousers with several necklaces including one with a giant ""K.""

""Euphoria"" actor Sydney Sweeney shimmered in a fitted sparkling black gown with her hair slicked back in a bun. Her co-star Zendaya wore a white silk suit with a brimmed hat.

Some pops of color made a statement on the carpet.

Olympic gymnast Simone Biles stood out in a short bright blue dress with a white collar. Director Spike Lee wore a black suit with a silver crossbody bag, orange glasses and an orange New York Knicks cap. Singer Chappell Roan donned hot pink.

Among the notable accessories, Bad Bunny carried a brown and yellow bowling-style bag and Tessa Thompson had a fan with an image of the late fashion journalist Andre Leon Talley, who many cited as an inspiration for their outfits.

Other attendees included musicians Stevie Wonder and Shaboozey and actors Demi Moore, Nicole Kidman and Cynthia Erivo.

Los Angeles Lakers star LeBron James, honorary chair of the event, could not attend because of a knee injury. ""Hate to miss an historical event!"" James wrote on social media platform X.
                    ","06 May 2025, 11:13 AM",entertainment
" Sean 'Diddy' Combs jurors say they have seen video of alleged beating, heard baby oil jokes ","
                        
                        
                        As jury selection got underway on Monday for Sean ""Diddy"" Combs' sex trafficking trial, prospective jurors said they had heard news about allegations against the hip-hop mogul, seen a video of him allegedly assaulting a woman, and even heard a comedian joke about the baby oil authorities say they found in his residences.

But simply having followed prior media coverage about the case was not enough for them to be excused from potentially serving on the jury for the two-month trial of Combs, 55, on charges of racketeering conspiracy, sex trafficking, and transportation to engage in prostitution. He has pleaded not guilty.

This week, US District Judge Arun Subramanian in Manhattan is questioning prospective jurors one-by-one, a process known as voir dire, in a bid to seat a panel of 12 jurors and six alternates who can be fair and impartial to both sides despite heavy media coverage of the case so far.

With Combs looking on wearing dark glasses and sporting a salt-and-pepper goatee, one juror said they had seen a video on the news that showed Combs allegedly assaulting someone in a hotel. Subramanian decided that juror, referred to as Juror No. 5, was qualified for the panel after they assured the judge they would be a ""blank slate entering this courtroom.""

A prospective juror was dismissed after writing in a screening questionnaire last week that a still image they had seen below a news headline of a woman on the floor in a hotel hallway and Combs standing near her ""could be damning evidence.""

Last year, CNN broadcast surveillance footage of what it said was a 2016 incident in which Combs attacked his former girlfriend, the R&B singer Casandra Ventura, in the hallway of a Los Angeles hotel. Combs apologised after the footage aired.

The jury will be anonymous, which is frequently the case in high-profile trials in which jurors could face threats or harassment if their identities are known. Subramanian's goal in voir dire is to choose 45 potential jurors who are qualified to serve, and lawyers for both sides will then have the opportunity to dismiss jurors without stating a reason.

Prosecutors have said the incident depicted in the hotel surveillance video was evidence of how Combs used force and threats over a two-decade period to coerce women to take part in days-long, drug-fueled sexual performances with male sex workers, which the mogul called ""Freak Offs.""

Prosecutors say employees of Combs' business empire helped the ""Freak Offs,"" including by booking hotel rooms, buying controlled substances and other items used during sex, and helping him cover up the activity. During raids of Combs' homes, authorities found drugs and 1,000 bottles of baby oil and lubricant, prosecutors said.

One prospective juror said they had ""liked"" a video on social media in which a comedian joked about Combs and baby oil.

""I remember liking it because I thought it was funny,"" said the juror, who Subramanian decided was qualified after they said they would be able to put the video aside and be impartial.

Combs' lawyers say the hotel surveillance video depicted a domestic dispute over infidelity and was not evidence of sex trafficking. They are expected to argue that the sexual activity described by prosecutors was consensual.

COMBS COULD FACE LIFE IN PRISON

Opening statements in Combs trial are scheduled for May 12.

Once known for elevating hip-hop in American culture and hosting lavish parties for the cultural elite in the Hamptons and Saint-Tropez, Combs is the latest powerful man in the entertainment industry to be accused of sexual misconduct since the #MeToo movement encouraged women to speak up about abuse.

His rags-to-riches life story saw the New York City native move from an upbringing by a single mother to living in mansions in Los Angeles and Miami. Since September he has been held at Brooklyn's Metropolitan Detention Center, about an hour by subway from the Harlem neighborhood where he was born.

If convicted on all counts, Combs faces a mandatory minimum of 15 years in prison and could face life in prison.
                    ","05 May 2025, 08:14 PM",entertainment
 Brazil police foil bomb plot targeting packed Lady Gaga concert in Rio ,"
                        
                        
                        Brazilian police said on Sunday that they had thwarted a bomb attack planned for Lady Gaga's historic concert that drew over 2 million people to Copacabana Beach in Rio de Janeiro on Saturday.

The Civil Police of Rio de Janeiro state, working in coordination with the Justice Ministry, said the plot was orchestrated by a group promoting hate speech and the radicalization of teenagers, including self-harm and violent content as a form of social belonging.

According to the Rio city hall, 2.1 million people attended the concert of the American pop icon.

""The suspects were recruiting participants, including minors, to carry out coordinated attacks using improvised explosives and Molotov cocktails,"" the police said in a statement.

The Justice Ministry said the recruiters identified themselves as members of Gaga's global fan base, known as the ""Little Monsters.""

The operation was based on a report by the ministry's Cyber Operations Lab following a tip-off from Rio state police intelligence, which uncovered digital cells encouraging violent behavior among teenagers using coded language and extremist symbolism.

A man described as the group's leader was arrested in the southern state of Rio Grande do Sul for illegal possession of a firearm, while a teenager in Rio de Janeiro was detained for storing child pornography.

Authorities carried out over a dozen search and seizure warrants across the states of Rio de Janeiro, Mato Grosso, Rio Grande do Sul and Sao Paulo.
                    ","05 May 2025, 07:45 PM",entertainment
" Take-Two delays 'GTA VI' to May 2026, extending wait for gaming's most anticipated title ","
                        
                        
                        Take-Two Interactive on Friday pushed the release of ""Grand Theft Auto VI"" to May 26, 2026, extending the wait for the most hotly anticipated title in video-gaming history and sending its shares tumbling 8 percent in early trading.

The title, developed by Rockstar Games, was previously slated for a fall 2025 launch. The franchise is the crown jewel in Take-Two's portfolio, accounting for a significant share of revenue and player engagement, and expectations for the upcoming title have been baked into Wall Street forecasts for months.

Fans have been waiting for the game for over a decade and analysts expect it to be an instant hit. The previous entry, ""Grand Theft Auto V"", released in 2013 and has sold over 200 million copies, making it one of the best-selling video games ever.

""We support fully Rockstar Games taking additional time to realize their creative vision for Grand Theft Auto VI, which promises to be a groundbreaking blockbuster entertainment experience,"" Take-Two CEO Strauss Zelnick said.

Delays have become commonplace in modern game development as studios grapple with rising production costs and growing pressure from players to deliver polished experiences at launch.

The postponement now pushes ""GTA VI"" out of Take-Two's fiscal 2026 release window and into 2027, which will likely bring down booking expectations for the next fiscal year. The company reiterated its expectations for sequential increases in net bookings for fiscal 2026 and 2027.

Investors await more details when Take-Two reports its fourth-quarter earnings on May 15.

Despite the delay, Take-Two has several titles lined up for the next fiscal year, including ""Borderlands 4"" and ""Mafia: The Old Country,"" which are also expected to be big launches.

""Given that Take-Two reiterated expectations of record level net bookings in both FY'26 and FY'27, we think this alleviates some of the potential concerns around sales cannibalization in FY'26,"" DA Davidson & Co analyst Wyatt Swanson said.

Rockstar Games unveiled the first trailer for ""GTA VI"" in Dec 2023, confirming the game's return to Vice City, a fictional take on Miami, and introducing Lucia, the franchise's first female lead. The teaser hinted at a modern-day Bonnie-and-Clyde duo and drew more than 100 million views within 24 hours.

The response to the delay was mixed on social media. Some users complained about waiting longer while others welcomed the additional polish.

The move will also impact the wider industry as ""GTA VI"" was expected to be a major catalyst for sector growth at a time when US tariffs have driven up gaming console prices and sparked a pullback in consumer spending.
                    ","03 May 2025, 08:21 PM",entertainment
" Virtual band PLAVE mixes K-pop, technology to charm fans ","
                        
                        
                        The five members of one of K-pop's trendiest groups PLAVE have appeared on TV, held concerts, and one of their songs has even secured a place in the prestigious Billboard Global 200, an international music chart.

On paper, they seem like any other K-pop sensation, except they are two-dimensional avatars with songs and content that have racked up over 470 million views on YouTube.

The band consisting of Yejun, Noah, Eunho, Bamby and Hamin, told Reuters they want to be globally recognised like K-pop sensation BTS.

""We don't often get to meet our fans so when we meet them at a concert we get very excited,"" said Bamby, who has pink hair and eyes. ""They cheer for us together... We make an all-out effort when we perform.""

Unlike many other virtual groups, PLAVE's label Vlast says the avatars are controlled by humans, using motion-capture and other technology to relay their actions and singing.

However, Vlast keeps the identity of the humans behind the avatars a secret, so they spoke to Reuters on condition of anonymity.

Since its debut in 2023, PLAVE has broken streaming records and topped music charts in South Korea with its latest album “Caligo Pt.1” released earlier this year, selling over one million copies in one week.

""For concerts, we connect our in-house motion capture studio directly to the actual concert venue in real-time,"" Vlast CEO Lee Sung-gu said in an email. ""This setup includes a feedback system that allows the members to see fan reactions from the concert venue as they perform.""

Despite the rise of artificial intelligence, Lee says his company plans to expand on the motion-capture technique.

""It’s our unique strength,"" he said.

There is little difference between virtual and real-life idols to Chang Ya Han, a 30-year-old Taiwanese fan who learned about PLAVE in an Instagram video.

""The love they give us, the way they drive us to become better, or how I wake up every day wanting to see them, that feeling is the same,"" she said at a crowded fan event in Seoul.

Vlast describes itself as a 'virtual entertainment' startup and said it received equity investments from K-pop labels HYBE and YG Plus early last year, as AI and the metaverse are increasingly embraced by the multi-million dollar K-pop industry.

According to Seoul-based music critic Kim Do Heon, PLAVE's success hinges on its interaction with fans.

""It's expensive to go to an idol group's concert and you need to use a paid messaging app to interact with them these days,"" Kim said.

""But the accessibility of cyber singers makes it much easier to like them.""
                    ","01 May 2025, 03:15 PM",entertainment
